id,contig,start,end,strand,function_num
WP_000826862.1,NC_002745.2,195497,196747,+,8
WP_000605281.1,NC_002745.2,197194,204369,+,4
WP_000215722.1,NC_002745.2,204382,205026,+,11
WP_001822554.1,NC_002745.2,205354,205833,-,8
WP_000668894.1,NC_002745.2,206103,206867,-,11
WP_000682619.1,NC_002745.2,206883,208124,-,11
WP_000598482.1,NC_002745.2,208136,209167,-,11
WP_001084442.1,NC_002745.2,209206,210390,-,11
WP_000728170.1,NC_002745.2,210649,211998,-,9
WP_001557561.1,NC_002745.2,212277,212834,-,11
WP_000813525.1,NC_002745.2,212901,214541,-,11
WP_000982808.1,NC_002745.2,214734,214835,+,9
WP_001227709.1,NC_002745.2,214814,216859,-,11
WP_000145577.1,NC_002745.2,217444,218499,+,11
WP_000432017.1,NC_002745.2,218499,219395,+,11
WP_000159750.1,NC_002745.2,219407,220861,+,11
WP_000181832.1,NC_002745.2,220864,221739,+,11
WP_001550030.1,NC_002745.2,221933,222214,-,8
WP_000331330.1,NC_002745.2,222427,225216,+,4
WP_000059051.1,NC_002745.2,225363,225962,-,9
WP_001253190.1,NC_002745.2,226088,227200,+,11
WP_000571407.1,NC_002745.2,227197,227877,+,11
WP_001233397.1,NC_002745.2,227874,229052,+,11
WP_000915920.1,NC_002745.2,229259,229480,+,1
WP_000517850.1,NC_002745.2,229518,231236,+,9
WP_001793228.1,NC_002745.2,231274,231738,+,8
WP_000960712.1,NC_002745.2,231750,232472,+,11
WP_000794565.1,NC_002745.2,232638,232835,+,7
WP_000067352.1,NC_002745.2,233345,234937,-,11
WP_001796914.1,NC_002745.2,234894,236372,+,11
WP_000240113.1,NC_002745.2,236378,237541,+,11
WP_000720816.1,NC_002745.2,237558,239333,+,11
WP_000236427.1,NC_002745.2,239371,241377,+,11
WP_000643619.1,NC_002745.2,241690,242463,-,11
WP_001151451.1,NC_002745.2,242652,243278,-,11
WP_000166920.1,NC_002745.2,243487,244065,+,11
WP_000818915.1,NC_002745.2,244449,245546,+,8
WP_000034961.1,NC_002745.2,245559,246830,+,11
WP_000166892.1,NC_002745.2,246833,248101,+,8
WP_000162661.1,NC_002745.2,248103,248942,+,8
WP_000153479.1,NC_002745.2,249016,250092,+,11
WP_000163820.1,NC_002745.2,250117,251157,+,11
WP_000690405.1,NC_002745.2,251212,252180,+,11
WP_000603755.1,NC_002745.2,252541,253035,-,8
WP_001008722.1,NC_002745.2,253268,254647,+,8
WP_000477526.1,NC_002745.2,255006,255764,-,11
WP_000127990.1,NC_002745.2,255757,257313,-,11
WP_000837116.1,NC_002745.2,257310,258278,-,11
WP_000894660.1,NC_002745.2,258866,261115,+,4
WP_000911657.1,NC_002745.2,261138,261893,+,11
WP_000822589.1,NC_002745.2,262215,263978,+,11
WP_000211597.1,NC_002745.2,264142,264486,-,9
WP_000744096.1,NC_002745.2,264676,266652,+,11
WP_031762187.1,NC_002745.2,266834,266941,-,9
WP_001154619.1,NC_002745.2,267239,268423,-,5
WP_000154537.1,NC_002745.2,268453,270714,-,4
WP_000142198.1,NC_002745.2,270900,272111,-,5
WP_001008400.1,NC_002745.2,272223,273728,-,5
WP_001795358.1,NC_002745.2,273754,275331,-,11
WP_010922818.1,NC_002745.2,275772,276914,+,8
WP_000669656.1,NC_002745.2,277228,278703,-,11
WP_000215216.1,NC_002745.2,278901,279257,-,11
WP_000773989.1,NC_002745.2,279414,279587,-,9
WP_000954799.1,NC_002745.2,279613,280758,-,11
WP_001791329.1,NC_002745.2,280913,281020,+,9
WP_001031880.1,NC_002745.2,281331,282284,+,11
WP_001792072.1,NC_002745.2,282452,282577,-,11
WP_000838205.1,NC_002745.2,282604,284133,-,11
WP_000823221.1,NC_002745.2,284495,285430,+,11
WP_001012737.1,NC_002745.2,285767,287863,+,4
WP_000531476.1,NC_002745.2,287848,288315,+,11
WP_000815795.1,NC_002745.2,288338,288616,+,11
WP_000120109.1,NC_002745.2,288843,290102,+,11
WP_000646211.1,NC_002745.2,290120,291175,+,11
WP_000230358.1,NC_002745.2,291177,291323,+,9
WP_000645608.1,NC_002745.2,291347,292390,+,11
WP_000638475.1,NC_002745.2,292918,293634,+,11
WP_000610180.1,NC_002745.2,293627,294652,+,11
WP_000167979.1,NC_002745.2,294674,296368,+,4
WP_000594817.1,NC_002745.2,296796,297965,+,11
WP_000872486.1,NC_002745.2,298241,298957,+,11
WP_000610204.1,NC_002745.2,298950,299975,+,11
WP_000240920.1,NC_002745.2,299997,301685,+,4
WP_000975351.1,NC_002745.2,301718,303439,+,11
WP_000608818.1,NC_002745.2,303583,304257,+,11
WP_000950281.1,NC_002745.2,304502,306256,+,11
WP_000645452.1,NC_002745.2,306259,306999,+,11
WP_001792906.1,NC_002745.2,307112,307555,+,1
WP_000607067.1,NC_002745.2,307548,308249,+,8
WP_000922320.1,NC_002745.2,308357,309061,-,11
WP_000066931.1,NC_002745.2,309210,310001,+,11
WP_000164003.1,NC_002745.2,310017,311453,+,11
WP_000031262.1,NC_002745.2,311940,312701,-,6
WP_001789860.1,NC_002745.2,312720,312854,+,9
WP_000182746.1,NC_002745.2,312952,313866,-,5
WP_000747873.1,NC_002745.2,313894,314298,-,11
WP_000029196.1,NC_002745.2,314313,315194,-,11
WP_000757880.1,NC_002745.2,315426,316424,-,11
WP_001792075.1,NC_002745.2,316575,316754,+,9
WP_001159765.1,NC_002745.2,316804,317196,+,11
WP_001066548.1,NC_002745.2,317324,318700,-,11
WP_000337368.1,NC_002745.2,318934,319926,+,11
WP_000736784.1,NC_002745.2,320252,321202,+,11
WP_000570070.1,NC_002745.2,321254,321913,-,11
WP_000806102.1,NC_002745.2,321927,322847,-,9
WP_000848761.1,NC_002745.2,322844,324010,-,9
WP_000038527.1,NC_002745.2,324078,325601,-,11
WP_000751215.1,NC_002745.2,325932,326825,-,11
WP_001240826.1,NC_002745.2,327073,327366,+,11
WP_000728958.1,NC_002745.2,327449,330478,+,11
WP_000928938.1,NC_002745.2,330478,330936,+,9
WP_001071606.1,NC_002745.2,330908,331150,+,11
WP_000240338.1,NC_002745.2,331163,332497,+,11
WP_000549287.1,NC_002745.2,332519,336958,+,11
WP_001010292.1,NC_002745.2,336988,337380,+,11
WP_000509671.1,NC_002745.2,337396,337710,+,11
WP_000655881.1,NC_002745.2,337710,338384,+,11
WP_000175722.1,NC_002745.2,338384,338701,+,11
WP_000159014.1,NC_002745.2,338711,340555,+,11
WP_000142044.1,NC_002745.2,340566,341057,+,11
WP_000208417.1,NC_002745.2,341260,341943,+,8
WP_000394911.1,NC_002745.2,342089,342700,+,9
WP_000431307.1,NC_002745.2,342835,343053,+,1
WP_000142138.1,NC_002745.2,343185,343685,+,11
WP_000141941.1,NC_002745.2,343696,344196,+,11
WP_001008493.1,NC_002745.2,344717,345217,+,11
WP_000575678.1,NC_002745.2,345228,345713,+,11
WP_000822161.1,NC_002745.2,346338,346712,+,11
WP_000415665.1,NC_002745.2,346862,347260,+,1
WP_000659770.1,NC_002745.2,347476,348300,-,11
WP_000745087.1,NC_002745.2,348537,349844,-,8
WP_001033876.1,NC_002745.2,350428,351318,+,11
WP_000477931.1,NC_002745.2,351567,352616,+,11
WP_000911017.1,NC_002745.2,352629,353306,+,11
WP_072353785.1,NC_002745.2,353465,353605,-,9
WP_001822575.1,NC_002745.2,353556,354545,+,11
WP_000002071.1,NC_002745.2,355981,356904,+,11
WP_001022972.1,NC_002745.2,356915,358135,+,11
WP_000665727.1,NC_002745.2,358240,359772,-,8
WP_001030736.1,NC_002745.2,359812,360693,-,11
WP_000291444.1,NC_002745.2,360851,361711,+,11
WP_000667382.1,NC_002745.2,361988,362788,-,11
WP_000936718.1,NC_002745.2,362928,363596,+,11
WP_001077725.1,NC_002745.2,363727,365040,-,11
WP_000943819.1,NC_002745.2,365458,367533,+,11
WP_000136054.1,NC_002745.2,367775,368602,-,11
WP_000286459.1,NC_002745.2,368675,369874,-,11
WP_001802007.1,NC_002745.2,369970,370062,+,9
WP_000240063.1,NC_002745.2,370176,371177,+,11
WP_000731878.1,NC_002745.2,371211,371543,+,11
WP_000449069.1,NC_002745.2,371544,372344,+,11
WP_001191954.1,NC_002745.2,372334,373278,+,4
WP_000280799.1,NC_002745.2,373256,374278,+,11
WP_001060935.1,NC_002745.2,374594,375619,+,11
WP_001147974.1,NC_002745.2,375713,377059,-,11
WP_000699538.1,NC_002745.2,377074,377358,-,9
WP_000050760.1,NC_002745.2,377360,377803,-,11
WP_000954271.1,NC_002745.2,377808,379763,-,11
WP_000397416.1,NC_002745.2,379975,380394,+,7
WP_000651051.1,NC_002745.2,380501,381856,+,8
WP_000278313.1,NC_002745.2,381960,382418,+,11
WP_001010111.1,NC_002745.2,382482,383840,-,11
WP_001028200.1,NC_002745.2,384152,385078,+,11
WP_001096113.1,NC_002745.2,385092,386153,+,11
WP_001028429.1,NC_002745.2,386167,386733,+,11
WP_000157630.1,NC_002745.2,386792,387787,-,8
WP_000467655.1,NC_002745.2,388152,388697,+,11
WP_000737196.1,NC_002745.2,388964,389818,+,11
WP_000186223.1,NC_002745.2,389815,391044,+,11
WP_000683687.1,NC_002745.2,391025,392737,+,11
WP_010922821.1,NC_002745.2,392978,393640,-,8
WP_001794540.1,NC_002745.2,393696,393920,-,1
WP_000886004.1,NC_002745.2,394019,394408,-,11
WP_001246008.1,NC_002745.2,394648,394851,+,7
WP_000698749.1,NC_002745.2,394848,395561,+,8
WP_000209551.1,NC_002745.2,395586,396428,+,11
WP_000677725.1,NC_002745.2,396428,397057,+,8
WP_000245682.1,NC_002745.2,397444,398577,-,9
WP_000199066.1,NC_002745.2,399116,400297,+,5
WP_000195907.1,NC_002745.2,400380,401132,-,11
WP_000207623.1,NC_002745.2,401175,403403,-,4
WP_000077317.1,NC_002745.2,403400,405241,-,11
WP_000175854.1,NC_002745.2,405210,406370,-,11
WP_000655692.1,NC_002745.2,406367,407470,-,11
WP_001557587.1,NC_002745.2,408132,408977,+,10
WP_000373073.1,NC_002745.2,409131,410012,+,11
WP_000157348.1,NC_002745.2,410042,410245,+,9
WP_001218732.1,NC_002745.2,410257,411354,+,11
WP_001052484.1,NC_002745.2,411440,411631,-,11
WP_001261460.1,NC_002745.2,411875,412171,+,11
WP_000934799.1,NC_002745.2,412192,412695,+,4
WP_000897044.1,NC_002745.2,412747,412989,+,11
WP_001817700.1,NC_002745.2,413266,414204,-,9
WP_000475325.1,NC_002745.2,415162,415773,+,11
WP_000849163.1,NC_002745.2,416142,416510,+,11
WP_000769722.1,NC_002745.2,416691,417263,+,11
WP_001055897.1,NC_002745.2,417400,417663,-,11
WP_000466748.1,NC_002745.2,417963,418214,+,8
WP_000211677.1,NC_002745.2,418253,418462,-,9
WP_000158375.1,NC_002745.2,418640,419221,+,11
WP_000868259.1,NC_002745.2,419287,419670,-,11
WP_000746679.1,NC_002745.2,419940,420566,-,9
WP_000930514.1,NC_002745.2,421010,422533,-,11
WP_000052781.1,NC_002745.2,422549,423118,-,11
WP_001287099.1,NC_002745.2,423610,424365,+,11
WP_000991018.1,NC_002745.2,424445,425833,-,8
WP_001792089.1,NC_002745.2,425918,426016,+,9
WP_001557163.1,NC_002745.2,426680,427999,+,10
WP_370591525.1,NC_002745.2,428047,428118,+,9
WP_000956137.1,NC_002745.2,428331,429287,-,5
WP_000394698.1,NC_002745.2,429405,430067,-,11
WP_000763767.1,NC_002745.2,430210,430617,-,11
WP_000421410.1,NC_002745.2,431130,431708,+,11
WP_000793018.1,NC_002745.2,431708,432976,+,11
WP_000264071.1,NC_002745.2,433014,434480,+,11
WP_000424963.1,NC_002745.2,434505,436046,+,11
WP_000551643.1,NC_002745.2,436159,436695,-,11
WP_000041880.1,NC_002745.2,437087,437791,-,11
WP_000159787.1,NC_002745.2,438190,438462,-,9
WP_000248844.1,NC_002745.2,438723,438875,-,9
WP_001021623.1,NC_002745.2,439407,439766,-,8
WP_001024371.1,NC_002745.2,439785,440630,-,11
WP_000669014.1,NC_002745.2,441102,441782,+,11
WP_000782622.1,NC_002745.2,442068,442763,+,11
WP_001056483.1,NC_002745.2,443054,444124,+,11
WP_001792090.1,NC_002745.2,444242,444379,+,9
WP_000705657.1,NC_002745.2,444488,445366,+,11
WP_000781349.1,NC_002745.2,445730,446434,+,11
WP_000769820.1,NC_002745.2,446880,447575,+,11
WP_000673034.1,NC_002745.2,447914,448612,+,11
WP_000778500.1,NC_002745.2,448989,449687,+,11
WP_000673051.1,NC_002745.2,450053,450736,+,11
WP_031762269.1,NC_002745.2,450821,450922,-,9
WP_000028663.1,NC_002745.2,451000,452556,+,11
WP_000072584.1,NC_002745.2,452549,453760,+,11
WP_000769160.1,NC_002745.2,454143,454826,+,11
WP_001208917.1,NC_002745.2,454848,456335,+,11
WP_000669519.1,NC_002745.2,456444,456752,-,11
WP_001802013.1,NC_002745.2,457119,457892,+,4
WP_000540879.1,NC_002745.2,457923,458717,+,11
WP_000542365.1,NC_002745.2,458765,459550,+,4
WP_001557593.1,NC_002745.2,459595,460356,+,4
WP_001557594.1,NC_002745.2,460417,461202,+,11
WP_001557596.1,NC_002745.2,461221,462003,+,11
WP_001802015.1,NC_002745.2,462063,462854,+,4
WP_000540323.1,NC_002745.2,462906,463706,+,4
WP_000835971.1,NC_002745.2,463725,464507,+,11
WP_001557597.1,NC_002745.2,464686,465501,+,4
WP_000653707.1,NC_002745.2,465491,466816,+,5
WP_000971497.1,NC_002745.2,466813,467136,+,11
WP_000172535.1,NC_002745.2,467155,467469,+,11
WP_001797248.1,NC_002745.2,467758,467958,-,9
WP_001062984.1,NC_002745.2,468137,469339,+,11
WP_001792097.1,NC_002745.2,469608,469736,+,9
WP_014532416.1,NC_002745.2,469998,470060,-,9
WP_014373779.1,NC_002745.2,470124,470192,-,9
WP_014373780.1,NC_002745.2,470244,470309,-,9
WP_014373781.1,NC_002745.2,470341,470406,-,9
WP_000948295.1,NC_002745.2,470927,472411,+,11
WP_000211545.1,NC_002745.2,472424,475129,+,11
WP_000831496.1,NC_002745.2,475291,475653,+,11
WP_001789536.1,NC_002745.2,475882,476298,-,9
WP_000565813.1,NC_002745.2,476336,477010,+,8
WP_001220811.1,NC_002745.2,477047,477781,+,11
WP_000828719.1,NC_002745.2,478153,479490,+,8
WP_000634098.1,NC_002745.2,479707,480612,+,11
WP_001036648.1,NC_002745.2,480605,481747,+,11
WP_000569281.1,NC_002745.2,482042,483067,+,11
WP_000467994.1,NC_002745.2,483071,483730,+,11
WP_000825530.1,NC_002745.2,483767,484609,+,11
WP_001170264.1,NC_002745.2,484941,485945,+,1
WP_001129473.1,NC_002745.2,486130,486399,-,11
WP_000588522.1,NC_002745.2,486548,486943,+,6
WP_000183668.1,NC_002745.2,486933,487418,+,11
WP_000994678.1,NC_002745.2,487587,488369,-,9
WP_001794550.1,NC_002745.2,488366,489484,-,11
WP_000403915.1,NC_002745.2,489599,490483,-,11
WP_000551342.1,NC_002745.2,490664,495163,+,4
WP_000503590.1,NC_002745.2,495181,496644,+,4
WP_000279361.1,NC_002745.2,497474,498901,+,11
WP_000031490.1,NC_002745.2,498965,500605,+,11
WP_001118675.1,NC_002745.2,500630,501358,+,11
WP_001790661.1,NC_002745.2,501762,501863,+,11
WP_001167828.1,NC_002745.2,502001,502525,+,11
WP_001109040.1,NC_002745.2,502594,504291,+,4
WP_001213992.1,NC_002745.2,504381,504698,+,5
WP_000559159.1,NC_002745.2,504705,505301,+,11
WP_000812829.1,NC_002745.2,512201,513538,+,4
WP_001272126.1,NC_002745.2,513540,514157,+,6
WP_000781979.1,NC_002745.2,514185,514514,+,11
WP_000344334.1,NC_002745.2,514728,515654,+,9
WP_001134194.1,NC_002745.2,515655,516458,+,4
WP_000375683.1,NC_002745.2,516475,516822,+,11
WP_000910686.1,NC_002745.2,517096,517821,+,6
WP_000377064.1,NC_002745.2,517814,518062,+,11
WP_000279926.1,NC_002745.2,518064,518903,+,11
WP_001051129.1,NC_002745.2,519188,521161,+,4
WP_000904312.1,NC_002745.2,521192,521965,+,11
WP_000700080.1,NC_002745.2,522132,522668,+,11
WP_000886500.1,NC_002745.2,522679,523572,+,4
WP_001126664.1,NC_002745.2,523672,523935,+,11
WP_000638870.1,NC_002745.2,524245,525093,+,11
WP_001269643.1,NC_002745.2,525107,525931,+,11
WP_000691774.1,NC_002745.2,525948,526328,+,11
WP_000868999.1,NC_002745.2,526400,526702,+,11
WP_001789654.1,NC_002745.2,526913,527044,+,9
WP_001252543.1,NC_002745.2,527067,528419,+,11
WP_000933774.1,NC_002745.2,528566,529531,+,11
WP_000157650.1,NC_002745.2,529681,530334,+,11
WP_000649791.1,NC_002745.2,530645,531217,+,11
WP_000154218.1,NC_002745.2,531217,534723,+,4
WP_000680740.1,NC_002745.2,534713,536239,+,11
WP_000951441.1,NC_002745.2,536239,537432,+,4
WP_001234988.1,NC_002745.2,537429,537692,+,11
WP_000792417.1,NC_002745.2,537710,538102,+,11
WP_000021445.1,NC_002745.2,538207,538608,+,11
WP_001176709.1,NC_002745.2,538788,540083,+,4
WP_000551283.1,NC_002745.2,540088,540627,+,6
WP_001167888.1,NC_002745.2,540884,542977,+,11
WP_000148598.1,NC_002745.2,543205,544086,+,11
WP_000057594.1,NC_002745.2,544265,545197,+,5
WP_000167944.1,NC_002745.2,545413,546216,+,11
WP_001154302.1,NC_002745.2,546194,546559,+,11
WP_000613722.1,NC_002745.2,546556,547032,+,11
WP_001790128.1,NC_002745.2,547426,547518,+,9
WP_001288202.1,NC_002745.2,547571,549058,+,11
WP_000799248.1,NC_002745.2,556112,557494,-,4
WP_000034728.1,NC_002745.2,557598,558485,+,11
WP_000690439.1,NC_002745.2,558489,559049,+,11
WP_000547794.1,NC_002745.2,559257,560471,-,11
WP_000551762.1,NC_002745.2,560629,561090,+,11
WP_000882069.1,NC_002745.2,561109,561675,+,4
WP_000149502.1,NC_002745.2,561665,562672,+,11
WP_000897132.1,NC_002745.2,562686,565142,+,11
WP_001085219.1,NC_002745.2,565627,566991,+,4
WP_001028376.1,NC_002745.2,567016,568089,+,11
WP_001283792.1,NC_002745.2,568646,570100,+,4
WP_001805237.1,NC_002745.2,570523,571170,+,11
WP_000631969.1,NC_002745.2,571154,572554,+,11
WP_000370182.1,NC_002745.2,572547,572951,+,11
WP_000390332.1,NC_002745.2,572959,573705,+,11
WP_000664737.1,NC_002745.2,573705,574229,+,11
WP_000872882.1,NC_002745.2,574310,574879,+,11
WP_001788193.1,NC_002745.2,574994,575137,+,11
WP_001074473.1,NC_002745.2,575193,575375,+,9
WP_001288302.1,NC_002745.2,575388,575936,+,11
WP_001085792.1,NC_002745.2,576117,576539,+,3
WP_001074622.1,NC_002745.2,576747,577439,+,11
WP_001273085.1,NC_002745.2,577711,578211,+,11
WP_001273586.1,NC_002745.2,578254,578622,+,11
WP_000020304.1,NC_002745.2,578797,579405,+,11
WP_000918667.1,NC_002745.2,579620,583171,+,11
WP_001788197.1,NC_002745.2,583335,586931,+,4
WP_000031892.1,NC_002745.2,587068,587322,+,11
WP_001142337.1,NC_002745.2,587420,587833,+,11
WP_001137495.1,NC_002745.2,587899,588369,+,11
WP_000090315.1,NC_002745.2,588492,590573,+,11
