id,function,function_num
WP_000019197.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000019358.1,no_hit,11
WP_000019588.1,no_hit,11
WP_000019652.1,no_hit,11
WP_000019827.1,no_hit,11
WP_000019869.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000019944.1,no_hit,11
WP_000020049.1,other,6
WP_000020078.1,unknown_function,9
WP_000020246.1,no_hit,11
WP_000020556.1,dna_rna_and_nucleotide_metabolism,4
WP_000020744.1,no_hit,11
WP_000020884.1,no_hit,11
WP_000020947.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000021035.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000021256.1,unknown_function,9
WP_000021347.1,no_hit,11
WP_000021666.1,unknown_function,9
WP_000022442.1,lysis,1
WP_000022458.1,transcription_regulation,7
WP_000022766.1,no_hit,11
WP_000023081.1,no_hit,11
WP_000023640.1,no_hit,11
WP_000023931.1,dna_rna_and_nucleotide_metabolism,4
WP_000024297.1,lysis,1
WP_000024392.1,dna_rna_and_nucleotide_metabolism,4
WP_000024560.1,no_hit,11
WP_000024633.1,no_hit,11
WP_000024742.1,unknown_function,9
WP_000024883.1,no_hit,11
WP_000025458.1,no_hit,11
WP_000025873.1,no_hit,11
WP_000026069.1,no_hit,11
WP_000026781.1,no_hit,11
WP_000027205.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000027427.1,dna_rna_and_nucleotide_metabolism,4
WP_000027563.1,no_hit,11
WP_000027665.1,dna_rna_and_nucleotide_metabolism,4
WP_000027708.1,dna_rna_and_nucleotide_metabolism,4
WP_000028093.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000028544.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000028878.1,no_hit,11
WP_000028953.1,no_hit,11
WP_000029325.1,no_hit,11
WP_000029463.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000029622.1,no_hit,11
WP_000029651.1,tail,2
WP_000029813.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000030005.1,no_hit,11
WP_000030527.1,no_hit,11
WP_000030674.1,head_and_packaging,5
WP_000030901.1,no_hit,11
WP_000031415.1,transcription_regulation,7
WP_000031661.1,no_hit,11
WP_000032691.1,other,6
WP_000032935.1,no_hit,11
WP_000033206.1,unknown_function,9
WP_000033336.1,tail,2
WP_000034372.1,no_hit,11
WP_000034402.1,no_hit,11
WP_000034602.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000034825.1,other,6
WP_000035581.1,dna_rna_and_nucleotide_metabolism,4
WP_000035699.1,dna_rna_and_nucleotide_metabolism,4
WP_000036370.1,no_hit,11
WP_000036491.1,unknown_function,9
WP_000036723.1,head_and_packaging,5
WP_000037399.1,no_hit,11
WP_000037609.1,no_hit,11
WP_000038002.1,no_hit,11
WP_000038195.1,head_and_packaging,5
WP_000038456.1,no_hit,11
WP_000039084.1,no_hit,11
WP_000039701.1,no_hit,11
WP_000039864.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000040152.1,no_hit,11
WP_000040369.1,no_hit,11
WP_000040660.1,lysis,1
WP_000041704.1,no_hit,11
WP_000041970.1,dna_rna_and_nucleotide_metabolism,4
WP_000042038.1,no_hit,11
WP_000042351.1,no_hit,11
WP_000042419.1,no_hit,11
WP_000042485.1,no_hit,11
WP_000042533.1,no_hit,11
WP_000042632.1,dna_rna_and_nucleotide_metabolism,4
WP_000042873.1,no_hit,11
WP_000042916.1,no_hit,11
WP_000043335.1,no_hit,11
WP_000043478.1,no_hit,11
WP_000043869.1,no_hit,11
WP_000044031.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000044300.1,no_hit,11
WP_000044401.1,integration_and_excision,10
WP_000044679.1,no_hit,11
WP_000044700.1,integration_and_excision,10
WP_000044757.1,no_hit,11
WP_000044848.1,no_hit,11
WP_000045180.1,no_hit,11
WP_000045277.1,no_hit,11
WP_000045455.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000045648.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000045739.1,no_hit,11
WP_000045978.1,tail,2
WP_000046287.1,dna_rna_and_nucleotide_metabolism,4
WP_000046637.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000046664.1,lysis,1
WP_000046749.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000046824.1,no_hit,11
WP_000046901.1,head_and_packaging,5
WP_000047079.1,no_hit,11
WP_000047193.1,no_hit,11
WP_000047432.1,no_hit,11
WP_000047491.1,integration_and_excision,10
WP_000047539.1,no_hit,11
WP_000048190.1,dna_rna_and_nucleotide_metabolism,4
WP_000048252.1,no_hit,11
WP_000048431.1,no_hit,11
WP_000048659.1,no_hit,11
WP_000048967.1,no_hit,11
WP_000049213.1,dna_rna_and_nucleotide_metabolism,4
WP_000049306.1,no_hit,11
WP_000049367.1,dna_rna_and_nucleotide_metabolism,4
WP_000049432.1,no_hit,11
WP_000049865.1,no_hit,11
WP_000049966.1,no_hit,11
WP_000050139.1,no_hit,11
WP_000050244.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000050323.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000050781.1,no_hit,11
WP_000051143.1,unknown_function,9
WP_000051572.1,no_hit,11
WP_000052201.1,head_and_packaging,5
WP_000052468.1,no_hit,11
WP_000052796.1,no_hit,11
WP_000053083.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000053415.1,no_hit,11
WP_000055075.1,no_hit,11
WP_000055132.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000055741.1,no_hit,11
WP_000055927.1,no_hit,11
WP_000055981.1,no_hit,11
WP_000056468.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000056545.1,integration_and_excision,10
WP_000056760.1,no_hit,11
WP_000056994.1,head_and_packaging,5
WP_000057080.1,integration_and_excision,10
WP_000057165.1,no_hit,11
WP_000057377.1,dna_rna_and_nucleotide_metabolism,4
WP_000057871.1,no_hit,11
WP_000057975.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000058493.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000058995.1,unknown_function,9
WP_000059116.1,no_hit,11
WP_000059304.1,no_hit,11
WP_000059395.1,no_hit,11
WP_000059467.1,integration_and_excision,10
WP_000059678.1,no_hit,11
WP_000059900.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000060112.1,head_and_packaging,5
WP_000060465.1,no_hit,11
WP_000060506.1,unknown_function,9
WP_000060930.1,tail,2
WP_000061178.1,unknown_function,9
WP_000062312.1,unknown_function,9
WP_000062434.1,no_hit,11
WP_000062596.1,no_hit,11
WP_000062611.1,no_hit,11
WP_000062967.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000062997.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000063103.1,no_hit,11
WP_000063125.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000063176.1,no_hit,11
WP_000063233.1,head_and_packaging,5
WP_000063625.1,unknown_function,9
WP_000063643.1,integration_and_excision,10
WP_000063969.1,no_hit,11
WP_000064252.1,no_hit,11
WP_000064701.1,head_and_packaging,5
WP_000065253.1,connector,3
WP_000065373.1,no_hit,11
WP_000065430.1,no_hit,11
WP_000065683.1,no_hit,11
WP_000065773.1,no_hit,11
WP_000065950.1,unknown_function,9
WP_000066490.1,other,6
WP_000066545.1,no_hit,11
WP_000066619.1,dna_rna_and_nucleotide_metabolism,4
WP_000066693.1,dna_rna_and_nucleotide_metabolism,4
WP_000067016.1,no_hit,11
WP_000067401.1,no_hit,11
WP_000067727.1,transcription_regulation,7
WP_000067755.1,no_hit,11
WP_000067822.1,dna_rna_and_nucleotide_metabolism,4
WP_000067950.1,head_and_packaging,5
WP_000068079.1,other,6
WP_000068457.1,transcription_regulation,7
WP_000068679.1,no_hit,11
WP_000068725.1,no_hit,11
WP_000068837.1,no_hit,11
WP_000068983.1,no_hit,11
WP_000069223.1,no_hit,11
WP_000069325.1,no_hit,11
WP_000069437.1,other,6
WP_000069920.1,tail,2
WP_000069998.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000070131.1,no_hit,11
WP_000070491.1,no_hit,11
WP_000070621.1,no_hit,11
WP_000070685.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000071140.1,no_hit,11
WP_000071545.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000071724.1,tail,2
WP_000072067.1,dna_rna_and_nucleotide_metabolism,4
WP_000072187.1,no_hit,11
WP_000072327.1,lysis,1
WP_000072536.1,no_hit,11
WP_000073044.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000073575.1,no_hit,11
WP_000074204.1,no_hit,11
WP_000074525.1,no_hit,11
WP_000074985.1,integration_and_excision,10
WP_000075107.1,lysis,1
WP_000075132.1,lysis,1
WP_000075400.1,no_hit,11
WP_000075555.1,no_hit,11
WP_000075744.1,no_hit,11
WP_000075839.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000075876.1,no_hit,11
WP_000076001.1,integration_and_excision,10
WP_000076226.1,no_hit,11
WP_000076303.1,dna_rna_and_nucleotide_metabolism,4
WP_000076999.1,no_hit,11
WP_000077290.1,no_hit,11
WP_000077784.1,no_hit,11
WP_000078064.1,other,6
WP_000078217.1,no_hit,11
WP_000078338.1,other,6
WP_000078748.1,dna_rna_and_nucleotide_metabolism,4
WP_000078833.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000078916.1,unknown_function,9
WP_000079092.1,dna_rna_and_nucleotide_metabolism,4
WP_000079259.1,no_hit,11
WP_000079504.1,head_and_packaging,5
WP_000079550.1,no_hit,11
WP_000079623.1,unknown_function,9
WP_000079722.1,tail,2
WP_000080139.1,dna_rna_and_nucleotide_metabolism,4
WP_000080643.1,unknown_function,9
WP_000080709.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000080885.1,no_hit,11
WP_000080947.1,connector,3
WP_000081071.1,no_hit,11
WP_000081128.1,no_hit,11
WP_000081418.1,dna_rna_and_nucleotide_metabolism,4
WP_000081550.1,transcription_regulation,7
WP_000081695.1,dna_rna_and_nucleotide_metabolism,4
WP_000081903.1,dna_rna_and_nucleotide_metabolism,4
WP_000082019.1,no_hit,11
WP_000082101.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000082144.1,no_hit,11
WP_000082188.1,transcription_regulation,7
WP_000082432.1,tail,2
WP_000082743.1,no_hit,11
WP_000082782.1,no_hit,11
WP_000082847.1,no_hit,11
WP_000082929.1,no_hit,11
WP_000082974.1,dna_rna_and_nucleotide_metabolism,4
WP_000083065.1,no_hit,11
WP_000083385.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000083419.1,no_hit,11
WP_000083831.1,unknown_function,9
WP_000083954.1,no_hit,11
WP_000084025.1,no_hit,11
WP_000084161.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000084172.1,unknown_function,9
WP_000084268.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000084387.1,no_hit,11
WP_000084465.1,no_hit,11
WP_000084526.1,no_hit,11
WP_000084639.1,no_hit,11
WP_000084677.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000084764.1,no_hit,11
WP_000085058.1,no_hit,11
WP_000085226.1,lysis,1
WP_000085945.1,other,6
WP_000086017.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000086192.1,no_hit,11
WP_000086434.1,transcription_regulation,7
WP_000086716.1,no_hit,11
WP_000086905.1,no_hit,11
WP_000087233.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000087269.1,no_hit,11
WP_000087467.1,no_hit,11
WP_000087763.1,unknown_function,9
WP_000087812.1,head_and_packaging,5
WP_000087992.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000088143.1,no_hit,11
WP_000088203.1,transcription_regulation,7
WP_000088605.1,no_hit,11
WP_000088657.1,integration_and_excision,10
WP_000088798.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000088854.1,no_hit,11
WP_000089099.1,no_hit,11
WP_000089290.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000089364.1,no_hit,11
WP_000089590.1,tail,2
WP_000089698.1,no_hit,11
WP_000089731.1,connector,3
WP_000089911.1,no_hit,11
WP_000090034.1,dna_rna_and_nucleotide_metabolism,4
WP_000090097.1,no_hit,11
WP_000090133.1,head_and_packaging,5
WP_000090264.1,no_hit,11
WP_000090493.1,head_and_packaging,5
WP_000090775.1,dna_rna_and_nucleotide_metabolism,4
WP_000090993.1,tail,2
WP_000091008.1,transcription_regulation,7
WP_000091169.1,no_hit,11
WP_000091199.1,no_hit,11
WP_000091263.1,no_hit,11
WP_000091295.1,no_hit,11
WP_000091472.1,no_hit,11
WP_000091572.1,no_hit,11
WP_000091664.1,no_hit,11
WP_000091700.1,no_hit,11
WP_000091751.1,unknown_function,9
WP_000091829.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000091945.1,connector,3
WP_000091955.1,dna_rna_and_nucleotide_metabolism,4
WP_000092030.1,no_hit,11
WP_000092209.1,no_hit,11
WP_000092302.1,lysis,1
WP_000092338.1,no_hit,11
WP_000092592.1,tail,2
WP_000092696.1,no_hit,11
WP_000092782.1,unknown_function,9
WP_000092909.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000093154.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000093262.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000093602.1,no_hit,11
WP_000093817.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000094000.1,no_hit,11
WP_000094674.1,no_hit,11
WP_000094808.1,connector,3
WP_000094838.1,integration_and_excision,10
WP_000095051.1,no_hit,11
WP_000095081.1,transcription_regulation,7
WP_000095178.1,no_hit,11
WP_000095622.1,other,6
WP_000095707.1,no_hit,11
WP_000096047.1,dna_rna_and_nucleotide_metabolism,4
WP_000096086.1,no_hit,11
WP_000096470.1,tail,2
WP_000096650.1,no_hit,11
WP_000096698.1,no_hit,11
WP_000096891.1,dna_rna_and_nucleotide_metabolism,4
WP_000097069.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000097342.1,no_hit,11
WP_000097561.1,no_hit,11
WP_000097647.1,other,6
WP_000097812.1,no_hit,11
WP_000097913.1,unknown_function,9
WP_000098025.1,no_hit,11
WP_000098255.1,dna_rna_and_nucleotide_metabolism,4
WP_000098429.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000098609.1,no_hit,11
WP_000098793.1,unknown_function,9
WP_000098807.1,tail,2
WP_000098821.1,no_hit,11
WP_000098902.1,no_hit,11
WP_000099297.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000099451.1,head_and_packaging,5
WP_000099823.1,head_and_packaging,5
WP_000100435.1,other,6
WP_000100800.1,no_hit,11
WP_000100942.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000101055.1,dna_rna_and_nucleotide_metabolism,4
WP_000101201.1,no_hit,11
WP_000101670.1,dna_rna_and_nucleotide_metabolism,4
WP_000101737.1,transcription_regulation,7
WP_000101994.1,no_hit,11
WP_000102176.1,no_hit,11
WP_000102278.1,lysis,1
WP_000102329.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000102485.1,dna_rna_and_nucleotide_metabolism,4
WP_000102553.1,no_hit,11
WP_000102669.1,no_hit,11
WP_000102891.1,no_hit,11
WP_000103276.1,tail,2
WP_000103335.1,tail,2
WP_000103382.1,no_hit,11
WP_000103679.1,transcription_regulation,7
WP_000103754.1,unknown_function,9
WP_000104001.1,transcription_regulation,7
WP_000104211.1,no_hit,11
WP_000104308.1,unknown_function,9
WP_000104350.1,lysis,1
WP_000104474.1,no_hit,11
WP_000104518.1,no_hit,11
WP_000104949.1,dna_rna_and_nucleotide_metabolism,4
WP_000105177.1,no_hit,11
WP_000105427.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000105566.1,no_hit,11
WP_000105733.1,no_hit,11
WP_000105832.1,dna_rna_and_nucleotide_metabolism,4
WP_000106017.1,no_hit,11
WP_000106036.1,no_hit,11
WP_000106479.1,head_and_packaging,5
WP_000106562.1,no_hit,11
WP_000106627.1,no_hit,11
WP_000106757.1,no_hit,11
WP_000106834.1,no_hit,11
WP_000106882.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000107027.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000107391.1,no_hit,11
WP_000107622.1,no_hit,11
WP_000107723.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000107846.1,unknown_function,9
WP_000108158.1,connector,3
WP_000108172.1,no_hit,11
WP_000108294.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000108330.1,other,6
WP_000108469.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000108625.1,no_hit,11
WP_000108796.1,transcription_regulation,7
WP_000108963.1,dna_rna_and_nucleotide_metabolism,4
WP_000109295.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000109503.1,no_hit,11
WP_000109943.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000110082.1,no_hit,11
WP_000110348.1,no_hit,11
WP_000110493.1,dna_rna_and_nucleotide_metabolism,4
WP_000110783.1,dna_rna_and_nucleotide_metabolism,4
WP_000110954.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000111043.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000111185.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000111243.1,no_hit,11
WP_000111822.1,no_hit,11
WP_000112802.1,unknown_function,9
WP_000112817.1,transcription_regulation,7
WP_000113110.1,no_hit,11
WP_000113189.1,transcription_regulation,7
WP_000113523.1,tail,2
WP_000113669.1,integration_and_excision,10
WP_000113933.1,no_hit,11
WP_000114286.1,other,6
WP_000114601.1,no_hit,11
WP_000114984.1,no_hit,11
WP_000115230.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000115278.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000115383.1,no_hit,11
WP_000115645.1,no_hit,11
WP_000115947.1,no_hit,11
WP_000116090.1,no_hit,11
WP_000116288.1,no_hit,11
WP_000116565.1,no_hit,11
WP_000116680.1,tail,2
WP_000116695.1,lysis,1
WP_000116719.1,connector,3
WP_000117168.1,dna_rna_and_nucleotide_metabolism,4
WP_000117733.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000117895.1,no_hit,11
WP_000118404.1,dna_rna_and_nucleotide_metabolism,4
WP_000118482.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000118507.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000118523.1,unknown_function,9
WP_000118816.1,no_hit,11
WP_000118883.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000119062.1,no_hit,11
WP_000119352.1,unknown_function,9
WP_000119749.1,lysis,1
WP_000120056.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000120981.1,tail,2
WP_000121344.1,dna_rna_and_nucleotide_metabolism,4
WP_000121479.1,dna_rna_and_nucleotide_metabolism,4
WP_000121896.1,no_hit,11
WP_000122006.1,dna_rna_and_nucleotide_metabolism,4
WP_000122253.1,other,6
WP_000122432.1,no_hit,11
WP_000122526.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000122894.1,no_hit,11
WP_000123125.1,lysis,1
WP_000123197.1,dna_rna_and_nucleotide_metabolism,4
WP_000123254.1,head_and_packaging,5
WP_000123651.1,tail,2
WP_000123746.1,dna_rna_and_nucleotide_metabolism,4
WP_000123970.1,unknown_function,9
WP_000124252.1,no_hit,11
WP_000124313.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000124416.1,tail,2
WP_000124700.1,other,6
WP_000124850.1,no_hit,11
WP_000125016.1,no_hit,11
WP_000125164.1,no_hit,11
WP_000125471.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000125566.1,unknown_function,9
WP_000125634.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000125646.1,unknown_function,9
WP_000125819.1,no_hit,11
WP_000126068.1,no_hit,11
WP_000126500.1,dna_rna_and_nucleotide_metabolism,4
WP_000126564.1,no_hit,11
WP_000126695.1,unknown_function,9
WP_000127172.1,tail,2
WP_000127242.1,no_hit,11
WP_000127753.1,no_hit,11
WP_000128136.1,lysis,1
WP_000128511.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000128776.1,unknown_function,9
WP_000128847.1,dna_rna_and_nucleotide_metabolism,4
WP_000129338.1,unknown_function,9
WP_000129551.1,no_hit,11
WP_000129790.1,integration_and_excision,10
WP_000130066.1,no_hit,11
WP_000130100.1,integration_and_excision,10
WP_000130185.1,no_hit,11
WP_000130217.1,transcription_regulation,7
WP_000130305.1,no_hit,11
WP_000130358.1,dna_rna_and_nucleotide_metabolism,4
WP_000130621.1,unknown_function,9
WP_000130682.1,integration_and_excision,10
WP_000130883.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000130945.1,integration_and_excision,10
WP_000131044.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000131314.1,unknown_function,9
WP_000131688.1,no_hit,11
WP_000131702.1,no_hit,11
WP_000131719.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000131775.1,no_hit,11
WP_000131901.1,unknown_function,9
WP_000132546.1,dna_rna_and_nucleotide_metabolism,4
WP_000132630.1,no_hit,11
WP_000132712.1,no_hit,11
WP_000132739.1,integration_and_excision,10
WP_000132961.1,other,6
WP_000133044.1,other,6
WP_000133106.1,lysis,1
WP_000133193.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000133388.1,connector,3
WP_000133424.1,transcription_regulation,7
WP_000133587.1,no_hit,11
WP_000133631.1,no_hit,11
WP_000134002.1,no_hit,11
WP_000134627.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000134810.1,unknown_function,9
WP_000134854.1,no_hit,11
WP_000134927.1,no_hit,11
WP_000135022.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000135039.1,unknown_function,9
WP_000135058.1,no_hit,11
WP_000135199.1,integration_and_excision,10
WP_000135224.1,no_hit,11
WP_000135625.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000136192.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000136788.1,no_hit,11
WP_000137012.1,dna_rna_and_nucleotide_metabolism,4
WP_000137171.1,no_hit,11
WP_000137429.1,unknown_function,9
WP_000137640.1,no_hit,11
WP_000137884.1,no_hit,11
WP_000137954.1,no_hit,11
WP_000138003.1,unknown_function,9
WP_000138043.1,no_hit,11
WP_000138184.1,no_hit,11
WP_000138282.1,dna_rna_and_nucleotide_metabolism,4
WP_000138558.1,unknown_function,9
WP_000138748.1,no_hit,11
WP_000138864.1,dna_rna_and_nucleotide_metabolism,4
WP_000139117.1,head_and_packaging,5
WP_000139447.1,no_hit,11
WP_000139485.1,transcription_regulation,7
WP_000139561.1,dna_rna_and_nucleotide_metabolism,4
WP_000139648.1,no_hit,11
WP_000139661.1,dna_rna_and_nucleotide_metabolism,4
WP_000140327.1,no_hit,11
WP_000140506.1,transcription_regulation,7
WP_000140578.1,no_hit,11
WP_000140631.1,integration_and_excision,10
WP_000141034.1,transcription_regulation,7
WP_000141275.1,no_hit,11
WP_000143113.1,no_hit,11
WP_000143458.1,lysis,1
WP_000143830.1,tail,2
WP_000144081.1,no_hit,11
WP_000144344.1,no_hit,11
WP_000144581.1,no_hit,11
WP_000144759.1,no_hit,11
WP_000144787.1,lysis,1
WP_000144795.1,no_hit,11
WP_000144847.1,no_hit,11
WP_000145111.1,no_hit,11
WP_000145410.1,no_hit,11
WP_000145915.1,no_hit,11
WP_000145975.1,no_hit,11
WP_000146116.1,tail,2
WP_000146159.1,no_hit,11
WP_000146359.1,no_hit,11
WP_000146384.1,no_hit,11
WP_000146755.1,tail,2
WP_000147167.1,transcription_regulation,7
WP_000147302.1,no_hit,11
WP_000147622.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000147776.1,dna_rna_and_nucleotide_metabolism,4
WP_000147987.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000148051.1,no_hit,11
WP_000148545.1,no_hit,11
WP_000148581.1,no_hit,11
WP_000148710.1,no_hit,11
WP_000148963.1,no_hit,11
