gene_id	function	pici_id
WLQYMNQG_CDS_0042	transcriptional regulator	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0043	DNA binding protein	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0044	hypothetical protein	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0045	hypothetical protein	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0046	hypothetical protein	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0047	hypothetical protein	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0048	DNA polymerase/primase	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0049	DNA primase/helicase	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0050	hypothetical protein	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0051	hypothetical protein	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0052	hypothetical protein	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0053	hypothetical protein	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0054	hypothetical protein	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0055	hypothetical protein	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0056	hypothetical protein	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0057	hypothetical protein	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0058	hypothetical protein	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0059	spore coat protein	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0060	hypothetical protein	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0061	terminase small subunit	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0062	integrase	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0063	transcriptional repressor	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0064	transcriptional repressor	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0065	HTH DNA binding protein	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0066	hypothetical protein	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0067	hypothetical protein	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0068	hypothetical protein	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0069	DNA polymerase/primase	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0070	DNA helicase	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0071	hypothetical protein	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0072	hypothetical protein	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0073	hypothetical protein	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0074	hypothetical protein	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0075	hypothetical protein	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0076	hypothetical protein	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0077	hypothetical protein	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0078	hypothetical protein	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0079	hypothetical protein	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0080	hypothetical protein	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0081	spore coat protein	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0082	spore coat protein	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0083	hypothetical protein	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0084	terminase small subunit	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0085	major head protein	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
WLQYMNQG_CDS_0086	head maturation protease	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
WLQYMNQG_CDS_0087	hypothetical protein	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
WLQYMNQG_CDS_0088	terminase small subunit	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
WLQYMNQG_CDS_0089	hypothetical protein	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
WLQYMNQG_CDS_0090	hypothetical protein	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
WLQYMNQG_CDS_0091	hypothetical protein	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
WLQYMNQG_CDS_0092	hypothetical protein	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
WLQYMNQG_CDS_0093	DNA primase	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
WLQYMNQG_CDS_0094	hypothetical protein	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
WLQYMNQG_CDS_0095	hypothetical protein	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
WLQYMNQG_CDS_0096	hypothetical protein	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
WLQYMNQG_CDS_0097	integrase	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
WLQYMNQG_CDS_0098	integrase	ESCO001.0321.00096.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0099	hypothetical protein	ESCO001.0321.00096.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0100	excisionase and transcriptional regulator	ESCO001.0321.00096.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0101	transcriptional repressor	ESCO001.0321.00096.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0102	hypothetical protein	ESCO001.0321.00096.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0103	hypothetical protein	ESCO001.0321.00096.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0104	hypothetical protein	ESCO001.0321.00096.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0105	hypothetical protein	ESCO001.0321.00096.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0106	DNA primase	ESCO001.0321.00096.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0107	hypothetical protein	ESCO001.0321.00096.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0108	hypothetical protein	ESCO001.0321.00096.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0109	hypothetical protein	ESCO001.0321.00096.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0110	hypothetical protein	ESCO001.0321.00096.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0111	hypothetical protein	ESCO001.0321.00096.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0112	terminase small subunit	ESCO001.0321.00096.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0113	terminase small subunit	ESCO001.0321.00096.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0114	major head protein	ESCO001.0321.00096.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0115	integrase	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0116	hypothetical protein	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0117	hypothetical protein	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0118	transcriptional repressor	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0119	transcriptional repressor	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0120	DNA binding protein	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0121	hypothetical protein	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0122	hypothetical protein	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0123	hypothetical protein	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0124	DNA polymerase/primase	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0125	DNA primase/helicase	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0126	hypothetical protein	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0127	hypothetical protein	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0128	hypothetical protein	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0129	hypothetical protein	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0130	hypothetical protein	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0131	hypothetical protein	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0132	hypothetical protein	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0133	hypothetical protein	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0134	spore coat protein	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0135	hypothetical protein	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0136	terminase small subunit	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0137	terminase small subunit	ESCO001.0321.00611.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0138	hypothetical protein	ESCO001.0321.00611.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0139	hypothetical protein	ESCO001.0321.00611.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0140	head decoration	ESCO001.0321.00611.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0141	major head protein	ESCO001.0321.00611.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0142	hypothetical protein	ESCO001.0321.00611.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0143	hypothetical protein	ESCO001.0321.00611.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0144	hypothetical protein	ESCO001.0321.00611.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0145	hypothetical protein	ESCO001.0321.00611.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0146	hypothetical protein	ESCO001.0321.00611.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0147	hypothetical protein	ESCO001.0321.00611.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0148	DNA primase	ESCO001.0321.00611.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0149	hypothetical protein	ESCO001.0321.00611.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0150	hypothetical protein	ESCO001.0321.00611.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0151	hypothetical protein	ESCO001.0321.00611.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0152	hypothetical protein	ESCO001.0321.00611.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0153	hypothetical protein	ESCO001.0321.00611.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0154	transcriptional repressor	ESCO001.0321.00611.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0155	hypothetical protein	ESCO001.0321.00611.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0156	hypothetical protein	ESCO001.0321.00611.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0157	hypothetical protein	ESCO001.0321.00611.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0158	integrase	ESCO001.0321.00611.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0159	terminase small subunit	ESCO001.0321.00651.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0160	hypothetical protein	ESCO001.0321.00651.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0161	head decoration	ESCO001.0321.00651.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0162	major head protein	ESCO001.0321.00651.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0163	hypothetical protein	ESCO001.0321.00651.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0164	hypothetical protein	ESCO001.0321.00651.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0165	hypothetical protein	ESCO001.0321.00651.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0166	hypothetical protein	ESCO001.0321.00651.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0167	single strand DNA binding protein	ESCO001.0321.00651.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0168	hypothetical protein	ESCO001.0321.00651.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0169	hypothetical protein	ESCO001.0321.00651.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0170	hypothetical protein	ESCO001.0321.00651.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0171	hypothetical protein	ESCO001.0321.00651.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0172	hypothetical protein	ESCO001.0321.00651.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0173	hypothetical protein	ESCO001.0321.00651.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0174	hypothetical protein	ESCO001.0321.00651.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0175	hypothetical protein	ESCO001.0321.00651.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0176	hypothetical protein	ESCO001.0321.00651.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0177	Arc-like repressor	ESCO001.0321.00651.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0178	hypothetical protein	ESCO001.0321.00651.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0179	hypothetical protein	ESCO001.0321.00651.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0180	hypothetical protein	ESCO001.0321.00651.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0181	hypothetical protein	ESCO001.0321.00651.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0182	integrase	ESCO001.0321.00651.C001.PICI.TypeA.Set1
WLQYMNQG_CDS_0183	major head protein	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0184	hypothetical protein	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0185	hypothetical protein	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0186	DNA primase	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0187	hypothetical protein	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0188	hypothetical protein	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0189	hypothetical protein	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0190	hypothetical protein	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0191	transcriptional regulator	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0192	integrase	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0193	hypothetical protein	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0194	hypothetical protein	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0195	hypothetical protein	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0196	hypothetical protein	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0197	hypothetical protein	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0198	hypothetical protein	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0199	head maturation protease	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0200	major head protein	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0201	hypothetical protein	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0202	hypothetical protein	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0203	hypothetical protein	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0204	hypothetical protein	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0205	hypothetical protein	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0206	hypothetical protein	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0207	hypothetical protein	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0208	hypothetical protein	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0209	hypothetical protein	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0210	hypothetical protein	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0211	hypothetical protein	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0212	integrase	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0213	integrase	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0214	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0215	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0216	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0217	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0218	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0219	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0220	transcriptional repressor	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0221	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0222	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0223	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0224	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0225	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0226	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0227	transcriptional repressor	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0228	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0229	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0230	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0231	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0232	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0233	Sak4-like ssDNA annealing protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0234	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0235	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0236	DNA helicase	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0237	DNA primase	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0238	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0239	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0240	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0241	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0242	RusA-like Holliday junction resolvase	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0243	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0244	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0245	transcriptional activator	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0246	hypothetical protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0247	universal stress protein	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0248	terminase small subunit	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0249	major head protein	MYTU002.0321.00164.C001.PICI.TypeB.variant0003.Set1
WLQYMNQG_CDS_0250	head maturation protease	MYTU002.0321.00164.C001.PICI.TypeB.variant0003.Set1
WLQYMNQG_CDS_0251	hypothetical protein	MYTU002.0321.00164.C001.PICI.TypeB.variant0003.Set1
WLQYMNQG_CDS_0252	terminase small subunit	MYTU002.0321.00164.C001.PICI.TypeB.variant0003.Set1
WLQYMNQG_CDS_0253	hypothetical protein	MYTU002.0321.00164.C001.PICI.TypeB.variant0003.Set1
WLQYMNQG_CDS_0254	hypothetical protein	MYTU002.0321.00164.C001.PICI.TypeB.variant0003.Set1
