Description	Count	contig
tRNAs	0	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
CRISPRs	0	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
tmRNAs	0	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
VFDB_Virulence_Factors	0	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
CARD_AMR_Genes	0	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
CDS	24	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
connector	0	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
DNA, RNA and nucleotide metabolism	3	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
head and packaging	2	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
integration and excision	1	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
lysis	0	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
moron, auxiliary metabolic gene and host takeover	0	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
other	0	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
tail	0	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
transcription regulation	2	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
unknown function	16	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
tRNAs	0	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
CRISPRs	0	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
tmRNAs	0	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
VFDB_Virulence_Factors	0	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
CARD_AMR_Genes	0	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
CDS	23	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
connector	0	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
DNA, RNA and nucleotide metabolism	3	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
head and packaging	3	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
integration and excision	1	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
lysis	0	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
moron, auxiliary metabolic gene and host takeover	0	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
other	0	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
tail	0	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
transcription regulation	2	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
unknown function	14	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
tRNAs	0	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
CRISPRs	0	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
tmRNAs	0	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
VFDB_Virulence_Factors	0	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
CARD_AMR_Genes	0	STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1
CDS	13	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
connector	0	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
DNA, RNA and nucleotide metabolism	1	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
head and packaging	3	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
integration and excision	1	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
lysis	0	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
moron, auxiliary metabolic gene and host takeover	0	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
other	0	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
tail	0	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
transcription regulation	0	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
unknown function	8	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
tRNAs	0	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
CRISPRs	0	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
tmRNAs	0	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
VFDB_Virulence_Factors	0	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
CARD_AMR_Genes	0	MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1
CDS	17	ESCO001.0321.00096.C001.PICI.TypeA.Set1
connector	0	ESCO001.0321.00096.C001.PICI.TypeA.Set1
DNA, RNA and nucleotide metabolism	1	ESCO001.0321.00096.C001.PICI.TypeA.Set1
head and packaging	3	ESCO001.0321.00096.C001.PICI.TypeA.Set1
integration and excision	2	ESCO001.0321.00096.C001.PICI.TypeA.Set1
lysis	0	ESCO001.0321.00096.C001.PICI.TypeA.Set1
moron, auxiliary metabolic gene and host takeover	0	ESCO001.0321.00096.C001.PICI.TypeA.Set1
other	0	ESCO001.0321.00096.C001.PICI.TypeA.Set1
tail	0	ESCO001.0321.00096.C001.PICI.TypeA.Set1
transcription regulation	1	ESCO001.0321.00096.C001.PICI.TypeA.Set1
unknown function	10	ESCO001.0321.00096.C001.PICI.TypeA.Set1
tRNAs	0	ESCO001.0321.00096.C001.PICI.TypeA.Set1
CRISPRs	0	ESCO001.0321.00096.C001.PICI.TypeA.Set1
tmRNAs	0	ESCO001.0321.00096.C001.PICI.TypeA.Set1
VFDB_Virulence_Factors	0	ESCO001.0321.00096.C001.PICI.TypeA.Set1
CARD_AMR_Genes	0	ESCO001.0321.00096.C001.PICI.TypeA.Set1
CDS	22	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
connector	0	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
DNA, RNA and nucleotide metabolism	3	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
head and packaging	2	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
integration and excision	1	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
lysis	0	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
moron, auxiliary metabolic gene and host takeover	0	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
other	0	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
tail	0	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
transcription regulation	2	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
unknown function	14	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
tRNAs	0	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
CRISPRs	0	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
tmRNAs	0	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
VFDB_Virulence_Factors	0	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
CARD_AMR_Genes	0	STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1
CDS	22	ESCO001.0321.00611.C001.PICI.TypeA.Set1
connector	0	ESCO001.0321.00611.C001.PICI.TypeA.Set1
DNA, RNA and nucleotide metabolism	1	ESCO001.0321.00611.C001.PICI.TypeA.Set1
head and packaging	3	ESCO001.0321.00611.C001.PICI.TypeA.Set1
integration and excision	1	ESCO001.0321.00611.C001.PICI.TypeA.Set1
lysis	0	ESCO001.0321.00611.C001.PICI.TypeA.Set1
moron, auxiliary metabolic gene and host takeover	0	ESCO001.0321.00611.C001.PICI.TypeA.Set1
other	0	ESCO001.0321.00611.C001.PICI.TypeA.Set1
tail	0	ESCO001.0321.00611.C001.PICI.TypeA.Set1
transcription regulation	1	ESCO001.0321.00611.C001.PICI.TypeA.Set1
unknown function	16	ESCO001.0321.00611.C001.PICI.TypeA.Set1
tRNAs	0	ESCO001.0321.00611.C001.PICI.TypeA.Set1
CRISPRs	0	ESCO001.0321.00611.C001.PICI.TypeA.Set1
tmRNAs	0	ESCO001.0321.00611.C001.PICI.TypeA.Set1
VFDB_Virulence_Factors	0	ESCO001.0321.00611.C001.PICI.TypeA.Set1
CARD_AMR_Genes	0	ESCO001.0321.00611.C001.PICI.TypeA.Set1
CDS	24	ESCO001.0321.00651.C001.PICI.TypeA.Set1
connector	0	ESCO001.0321.00651.C001.PICI.TypeA.Set1
DNA, RNA and nucleotide metabolism	1	ESCO001.0321.00651.C001.PICI.TypeA.Set1
head and packaging	3	ESCO001.0321.00651.C001.PICI.TypeA.Set1
integration and excision	1	ESCO001.0321.00651.C001.PICI.TypeA.Set1
lysis	0	ESCO001.0321.00651.C001.PICI.TypeA.Set1
moron, auxiliary metabolic gene and host takeover	0	ESCO001.0321.00651.C001.PICI.TypeA.Set1
other	0	ESCO001.0321.00651.C001.PICI.TypeA.Set1
tail	0	ESCO001.0321.00651.C001.PICI.TypeA.Set1
transcription regulation	1	ESCO001.0321.00651.C001.PICI.TypeA.Set1
unknown function	18	ESCO001.0321.00651.C001.PICI.TypeA.Set1
tRNAs	0	ESCO001.0321.00651.C001.PICI.TypeA.Set1
CRISPRs	0	ESCO001.0321.00651.C001.PICI.TypeA.Set1
tmRNAs	0	ESCO001.0321.00651.C001.PICI.TypeA.Set1
VFDB_Virulence_Factors	0	ESCO001.0321.00651.C001.PICI.TypeA.Set1
CARD_AMR_Genes	0	ESCO001.0321.00651.C001.PICI.TypeA.Set1
CDS	10	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
connector	0	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
DNA, RNA and nucleotide metabolism	1	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
head and packaging	1	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
integration and excision	1	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
lysis	0	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
moron, auxiliary metabolic gene and host takeover	0	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
other	0	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
tail	0	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
transcription regulation	1	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
unknown function	6	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
tRNAs	0	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
CRISPRs	0	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
tmRNAs	0	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
VFDB_Virulence_Factors	0	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
CARD_AMR_Genes	0	HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1
CDS	20	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
connector	0	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
DNA, RNA and nucleotide metabolism	0	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
head and packaging	2	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
integration and excision	1	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
lysis	0	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
moron, auxiliary metabolic gene and host takeover	0	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
other	0	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
tail	0	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
transcription regulation	0	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
unknown function	17	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
tRNAs	0	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
CRISPRs	0	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
tmRNAs	0	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
VFDB_Virulence_Factors	0	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
CARD_AMR_Genes	0	SIME002.0321.00021.C001.PICI.TypeB.variant0001.Set1
CDS	36	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
connector	0	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
DNA, RNA and nucleotide metabolism	4	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
head and packaging	1	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
integration and excision	1	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
lysis	0	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
moron, auxiliary metabolic gene and host takeover	0	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
other	1	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
tail	0	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
transcription regulation	3	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
unknown function	26	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
tRNAs	0	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
CRISPRs	0	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
tmRNAs	0	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
VFDB_Virulence_Factors	0	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
CARD_AMR_Genes	0	LARA001.0321.00005.C001.PICI.TypeB.variant0002.Set1
CDS	13	MYTU002.0321.00164.C001.PICI.TypeB.variant0003.Set1
connector	0	MYTU002.0321.00164.C001.PICI.TypeB.variant0003.Set1
DNA, RNA and nucleotide metabolism	0	MYTU002.0321.00164.C001.PICI.TypeB.variant0003.Set1
head and packaging	3	MYTU002.0321.00164.C001.PICI.TypeB.variant0003.Set1
integration and excision	2	MYTU002.0321.00164.C001.PICI.TypeB.variant0003.Set1
lysis	0	MYTU002.0321.00164.C001.PICI.TypeB.variant0003.Set1
moron, auxiliary metabolic gene and host takeover	0	MYTU002.0321.00164.C001.PICI.TypeB.variant0003.Set1
other	0	MYTU002.0321.00164.C001.PICI.TypeB.variant0003.Set1
tail	0	MYTU002.0321.00164.C001.PICI.TypeB.variant0003.Set1
transcription regulation	0	MYTU002.0321.00164.C001.PICI.TypeB.variant0003.Set1
unknown function	8	MYTU002.0321.00164.C001.PICI.TypeB.variant0003.Set1
tRNAs	0	MYTU002.0321.00164.C001.PICI.TypeB.variant0003.Set1
CRISPRs	0	MYTU002.0321.00164.C001.PICI.TypeB.variant0003.Set1
tmRNAs	0	MYTU002.0321.00164.C001.PICI.TypeB.variant0003.Set1
VFDB_Virulence_Factors	0	MYTU002.0321.00164.C001.PICI.TypeB.variant0003.Set1
CARD_AMR_Genes	0	MYTU002.0321.00164.C001.PICI.TypeB.variant0003.Set1
CDS	20	ESCO001.0321.01009.C001.PICI.TypeA.Set1
connector	0	ESCO001.0321.01009.C001.PICI.TypeA.Set1
DNA, RNA and nucleotide metabolism	0	ESCO001.0321.01009.C001.PICI.TypeA.Set1
head and packaging	3	ESCO001.0321.01009.C001.PICI.TypeA.Set1
integration and excision	2	ESCO001.0321.01009.C001.PICI.TypeA.Set1
lysis	0	ESCO001.0321.01009.C001.PICI.TypeA.Set1
moron, auxiliary metabolic gene and host takeover	0	ESCO001.0321.01009.C001.PICI.TypeA.Set1
other	0	ESCO001.0321.01009.C001.PICI.TypeA.Set1
tail	0	ESCO001.0321.01009.C001.PICI.TypeA.Set1
transcription regulation	1	ESCO001.0321.01009.C001.PICI.TypeA.Set1
unknown function	14	ESCO001.0321.01009.C001.PICI.TypeA.Set1
tRNAs	0	ESCO001.0321.01009.C001.PICI.TypeA.Set1
CRISPRs	0	ESCO001.0321.01009.C001.PICI.TypeA.Set1
tmRNAs	0	ESCO001.0321.01009.C001.PICI.TypeA.Set1
VFDB_Virulence_Factors	0	ESCO001.0321.01009.C001.PICI.TypeA.Set1
CARD_AMR_Genes	0	ESCO001.0321.01009.C001.PICI.TypeA.Set1
CDS	24	ESCO001.0321.00668.C001.PICI.TypeA.Set1
connector	0	ESCO001.0321.00668.C001.PICI.TypeA.Set1
DNA, RNA and nucleotide metabolism	1	ESCO001.0321.00668.C001.PICI.TypeA.Set1
head and packaging	3	ESCO001.0321.00668.C001.PICI.TypeA.Set1
integration and excision	1	ESCO001.0321.00668.C001.PICI.TypeA.Set1
lysis	0	ESCO001.0321.00668.C001.PICI.TypeA.Set1
moron, auxiliary metabolic gene and host takeover	0	ESCO001.0321.00668.C001.PICI.TypeA.Set1
other	0	ESCO001.0321.00668.C001.PICI.TypeA.Set1
tail	0	ESCO001.0321.00668.C001.PICI.TypeA.Set1
transcription regulation	1	ESCO001.0321.00668.C001.PICI.TypeA.Set1
unknown function	18	ESCO001.0321.00668.C001.PICI.TypeA.Set1
tRNAs	0	ESCO001.0321.00668.C001.PICI.TypeA.Set1
CRISPRs	0	ESCO001.0321.00668.C001.PICI.TypeA.Set1
tmRNAs	0	ESCO001.0321.00668.C001.PICI.TypeA.Set1
VFDB_Virulence_Factors	0	ESCO001.0321.00668.C001.PICI.TypeA.Set1
CARD_AMR_Genes	0	ESCO001.0321.00668.C001.PICI.TypeA.Set1
CDS	18	ESCO001.0321.00026.C001.PICI.TypeA.Set1
connector	0	ESCO001.0321.00026.C001.PICI.TypeA.Set1
DNA, RNA and nucleotide metabolism	1	ESCO001.0321.00026.C001.PICI.TypeA.Set1
head and packaging	3	ESCO001.0321.00026.C001.PICI.TypeA.Set1
integration and excision	2	ESCO001.0321.00026.C001.PICI.TypeA.Set1
lysis	0	ESCO001.0321.00026.C001.PICI.TypeA.Set1
moron, auxiliary metabolic gene and host takeover	0	ESCO001.0321.00026.C001.PICI.TypeA.Set1
other	0	ESCO001.0321.00026.C001.PICI.TypeA.Set1
tail	0	ESCO001.0321.00026.C001.PICI.TypeA.Set1
transcription regulation	1	ESCO001.0321.00026.C001.PICI.TypeA.Set1
unknown function	11	ESCO001.0321.00026.C001.PICI.TypeA.Set1
tRNAs	0	ESCO001.0321.00026.C001.PICI.TypeA.Set1
CRISPRs	0	ESCO001.0321.00026.C001.PICI.TypeA.Set1
tmRNAs	0	ESCO001.0321.00026.C001.PICI.TypeA.Set1
VFDB_Virulence_Factors	0	ESCO001.0321.00026.C001.PICI.TypeA.Set1
CARD_AMR_Genes	0	ESCO001.0321.00026.C001.PICI.TypeA.Set1
CDS	24	ESCO001.0321.00568.C001.PICI.TypeA.Set1
connector	0	ESCO001.0321.00568.C001.PICI.TypeA.Set1
DNA, RNA and nucleotide metabolism	1	ESCO001.0321.00568.C001.PICI.TypeA.Set1
head and packaging	3	ESCO001.0321.00568.C001.PICI.TypeA.Set1
integration and excision	1	ESCO001.0321.00568.C001.PICI.TypeA.Set1
lysis	0	ESCO001.0321.00568.C001.PICI.TypeA.Set1
moron, auxiliary metabolic gene and host takeover	0	ESCO001.0321.00568.C001.PICI.TypeA.Set1
other	0	ESCO001.0321.00568.C001.PICI.TypeA.Set1
tail	0	ESCO001.0321.00568.C001.PICI.TypeA.Set1
transcription regulation	1	ESCO001.0321.00568.C001.PICI.TypeA.Set1
unknown function	18	ESCO001.0321.00568.C001.PICI.TypeA.Set1
tRNAs	0	ESCO001.0321.00568.C001.PICI.TypeA.Set1
CRISPRs	0	ESCO001.0321.00568.C001.PICI.TypeA.Set1
tmRNAs	0	ESCO001.0321.00568.C001.PICI.TypeA.Set1
VFDB_Virulence_Factors	0	ESCO001.0321.00568.C001.PICI.TypeA.Set1
CARD_AMR_Genes	0	ESCO001.0321.00568.C001.PICI.TypeA.Set1
CDS	16	MYCH002.0321.00002.C001.PICI.TypeB.variant0001.Set1
connector	0	MYCH002.0321.00002.C001.PICI.TypeB.variant0001.Set1
DNA, RNA and nucleotide metabolism	1	MYCH002.0321.00002.C001.PICI.TypeB.variant0001.Set1
head and packaging	4	MYCH002.0321.00002.C001.PICI.TypeB.variant0001.Set1
integration and excision	1	MYCH002.0321.00002.C001.PICI.TypeB.variant0001.Set1
lysis	0	MYCH002.0321.00002.C001.PICI.TypeB.variant0001.Set1
moron, auxiliary metabolic gene and host takeover	0	MYCH002.0321.00002.C001.PICI.TypeB.variant0001.Set1
other	0	MYCH002.0321.00002.C001.PICI.TypeB.variant0001.Set1
tail	0	MYCH002.0321.00002.C001.PICI.TypeB.variant0001.Set1
transcription regulation	0	MYCH002.0321.00002.C001.PICI.TypeB.variant0001.Set1
unknown function	10	MYCH002.0321.00002.C001.PICI.TypeB.variant0001.Set1
tRNAs	0	MYCH002.0321.00002.C001.PICI.TypeB.variant0001.Set1
CRISPRs	0	MYCH002.0321.00002.C001.PICI.TypeB.variant0001.Set1
tmRNAs	0	MYCH002.0321.00002.C001.PICI.TypeB.variant0001.Set1
VFDB_Virulence_Factors	0	MYCH002.0321.00002.C001.PICI.TypeB.variant0001.Set1
CARD_AMR_Genes	0	MYCH002.0321.00002.C001.PICI.TypeB.variant0001.Set1
CDS	19	STAU002.0321.00081.C001.PICI.TypeB.variant0002.Set2
connector	0	STAU002.0321.00081.C001.PICI.TypeB.variant0002.Set2
DNA, RNA and nucleotide metabolism	3	STAU002.0321.00081.C001.PICI.TypeB.variant0002.Set2
head and packaging	2	STAU002.0321.00081.C001.PICI.TypeB.variant0002.Set2
integration and excision	1	STAU002.0321.00081.C001.PICI.TypeB.variant0002.Set2
lysis	0	STAU002.0321.00081.C001.PICI.TypeB.variant0002.Set2
moron, auxiliary metabolic gene and host takeover	0	STAU002.0321.00081.C001.PICI.TypeB.variant0002.Set2
other	0	STAU002.0321.00081.C001.PICI.TypeB.variant0002.Set2
tail	0	STAU002.0321.00081.C001.PICI.TypeB.variant0002.Set2
transcription regulation	2	STAU002.0321.00081.C001.PICI.TypeB.variant0002.Set2
unknown function	11	STAU002.0321.00081.C001.PICI.TypeB.variant0002.Set2
tRNAs	0	STAU002.0321.00081.C001.PICI.TypeB.variant0002.Set2
CRISPRs	0	STAU002.0321.00081.C001.PICI.TypeB.variant0002.Set2
tmRNAs	0	STAU002.0321.00081.C001.PICI.TypeB.variant0002.Set2
VFDB_Virulence_Factors	0	STAU002.0321.00081.C001.PICI.TypeB.variant0002.Set2
CARD_AMR_Genes	0	STAU002.0321.00081.C001.PICI.TypeB.variant0002.Set2
CDS	12	MYTU002.0321.00229.C001.PICI.TypeB.variant0004.Set1
connector	0	MYTU002.0321.00229.C001.PICI.TypeB.variant0004.Set1
DNA, RNA and nucleotide metabolism	1	MYTU002.0321.00229.C001.PICI.TypeB.variant0004.Set1
head and packaging	3	MYTU002.0321.00229.C001.PICI.TypeB.variant0004.Set1
integration and excision	1	MYTU002.0321.00229.C001.PICI.TypeB.variant0004.Set1
lysis	0	MYTU002.0321.00229.C001.PICI.TypeB.variant0004.Set1
moron, auxiliary metabolic gene and host takeover	0	MYTU002.0321.00229.C001.PICI.TypeB.variant0004.Set1
other	0	MYTU002.0321.00229.C001.PICI.TypeB.variant0004.Set1
tail	0	MYTU002.0321.00229.C001.PICI.TypeB.variant0004.Set1
transcription regulation	0	MYTU002.0321.00229.C001.PICI.TypeB.variant0004.Set1
unknown function	7	MYTU002.0321.00229.C001.PICI.TypeB.variant0004.Set1
tRNAs	0	MYTU002.0321.00229.C001.PICI.TypeB.variant0004.Set1
CRISPRs	0	MYTU002.0321.00229.C001.PICI.TypeB.variant0004.Set1
tmRNAs	0	MYTU002.0321.00229.C001.PICI.TypeB.variant0004.Set1
VFDB_Virulence_Factors	0	MYTU002.0321.00229.C001.PICI.TypeB.variant0004.Set1
CARD_AMR_Genes	0	MYTU002.0321.00229.C001.PICI.TypeB.variant0004.Set1
CDS	23	STAU002.0321.00583.C001.PICI.TypeB.variant0002.Set1
connector	0	STAU002.0321.00583.C001.PICI.TypeB.variant0002.Set1
DNA, RNA and nucleotide metabolism	3	STAU002.0321.00583.C001.PICI.TypeB.variant0002.Set1
head and packaging	2	STAU002.0321.00583.C001.PICI.TypeB.variant0002.Set1
integration and excision	1	STAU002.0321.00583.C001.PICI.TypeB.variant0002.Set1
lysis	0	STAU002.0321.00583.C001.PICI.TypeB.variant0002.Set1
moron, auxiliary metabolic gene and host takeover	2	STAU002.0321.00583.C001.PICI.TypeB.variant0002.Set1
other	0	STAU002.0321.00583.C001.PICI.TypeB.variant0002.Set1
tail	0	STAU002.0321.00583.C001.PICI.TypeB.variant0002.Set1
transcription regulation	2	STAU002.0321.00583.C001.PICI.TypeB.variant0002.Set1
unknown function	13	STAU002.0321.00583.C001.PICI.TypeB.variant0002.Set1
tRNAs	0	STAU002.0321.00583.C001.PICI.TypeB.variant0002.Set1
CRISPRs	0	STAU002.0321.00583.C001.PICI.TypeB.variant0002.Set1
tmRNAs	0	STAU002.0321.00583.C001.PICI.TypeB.variant0002.Set1
VFDB_Virulence_Factors	0	STAU002.0321.00583.C001.PICI.TypeB.variant0002.Set1
CARD_AMR_Genes	0	STAU002.0321.00583.C001.PICI.TypeB.variant0002.Set1
CDS	23	ESCO001.0321.01293.C001.PICI.TypeA.Set1
connector	0	ESCO001.0321.01293.C001.PICI.TypeA.Set1
DNA, RNA and nucleotide metabolism	1	ESCO001.0321.01293.C001.PICI.TypeA.Set1
head and packaging	3	ESCO001.0321.01293.C001.PICI.TypeA.Set1
integration and excision	1	ESCO001.0321.01293.C001.PICI.TypeA.Set1
lysis	0	ESCO001.0321.01293.C001.PICI.TypeA.Set1
moron, auxiliary metabolic gene and host takeover	0	ESCO001.0321.01293.C001.PICI.TypeA.Set1
other	0	ESCO001.0321.01293.C001.PICI.TypeA.Set1
tail	0	ESCO001.0321.01293.C001.PICI.TypeA.Set1
